Analysis Id,Sample Id,Sample#,Type,Fixed?,Latitude,Longitude,Distance(miles),Bearing,Direction,Collection Date,Source,Description,Weight,Weight Unit,Depth,Surface Area(cm2),Shape,Uncertainty%,MDA,Method Code,Moisture%,Nuclide,Result,Unit
197671,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,2.45826E-06,2.42825E-07,Gamma Spectroscopy,,Cs-134,9.02562E-05,uCi/g
197673,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,7.67903E-06,1.10271E-05,Gamma Spectroscopy,,Te-129m,-1.00195E-05,uCi/g
197675,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,1.78121E-06,3.00738E-06,Gamma Spectroscopy,,Ce-144,-1.24454E-06,uCi/g
197677,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,4.95338E-07,0,Gamma Spectroscopy,,Mo-99,4.11052E-11,uCi/g
197679,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,7.67892E-06,0,Gamma Spectroscopy,,I-132,1.21186E-10,uCi/g
197681,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,7.67892E-06,0,Gamma Spectroscopy,,Te-132,1.21186E-10,uCi/g
197683,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,2.61541E-08,3.46071E-08,GP Counting,,Sr-90,1.68038E-07,uCi/g
197685,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,8.49922E-08,3.46071E-08,GP Counting,,Sr-Total,1.44264E-06,uCi/g
197687,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,2.61541E-08,3.46071E-08,GP Counting,,Sr-89,2.1441E-06,uCi/g
197689,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,9.15575E-07,7.3708E-07,Gamma Spectroscopy,,Ba-140,5.96595E-06,uCi/g
197691,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,1.75472E-06,1.87648E-06,Gamma Spectroscopy,,Cs-136,2.71507E-05,uCi/g
197693,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,3.6752E-05,1.21068E-05,Gamma Spectroscopy,,I-131,0.000798779,uCi/g
197695,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,5.36506E-05,4.6648E-07,Gamma Spectroscopy,,Cs-137,0.000889532,uCi/g
197697,8993,SCF-08759,Soil,No,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/11 3:08 PM,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS North Box - Flat Area, bare soil. Location #4. ;",250,grams,2,100,,2.26955E-05,6.80972E-07,Gamma Spectroscopy,,Cs-134,0.000920131,uCi/g
197879,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,5.6572E-06,8.1608E-06,Gamma Spectroscopy,,Te-129m,-4.70636E-06,uCi/g
197881,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,1.39758E-06,2.37502E-06,Gamma Spectroscopy,,Ce-144,-1.84347E-07,uCi/g
197883,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,5.6572E-06,0,Gamma Spectroscopy,,I-132,-9.11442E-11,uCi/g
197885,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,5.6572E-06,0,Gamma Spectroscopy,,Te-132,-9.11442E-11,uCi/g
197887,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,4.07656E-07,0,Gamma Spectroscopy,,Mo-99,-9.04051E-11,uCi/g
197889,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,2.80603E-08,3.58367E-08,GP Counting,,Sr-90,7.91755E-09,uCi/g
197891,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,3.83544E-08,3.58367E-08,GP Counting,,Sr-Total,4.21383E-07,uCi/g
197893,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,2.80603E-08,3.58367E-08,GP Counting,,Sr-89,6.36758E-07,uCi/g
197895,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,7.76596E-07,4.729E-07,Gamma Spectroscopy,,Ba-140,3.30258E-06,uCi/g
197897,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,1.07879E-06,1.20332E-06,Gamma Spectroscopy,,Cs-136,1.29666E-05,uCi/g
197899,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,7.50494E-06,6.50626E-06,Gamma Spectroscopy,,I-131,8.83257E-05,uCi/g
197901,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,2.82132E-05,3.86507E-07,Gamma Spectroscopy,,Cs-137,0.00046748,uCi/g
197903,9023,SCF-08774,Soil,No,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/11 1:00 PM,DOE,Field Team: location one ;,,,2,100,Square & Flat,1.21961E-05,5.61571E-07,Gamma Spectroscopy,,Cs-134,0.000477004,uCi/g
